003148,20230101,00:01:01
006276,20230101,00:01:31
006174,20230101,00:03:09
004275,20230101,00:09:56
006002,20230101,01:42:26
001041,20230101,04:04:54
006410,20230101,04:59:38
004019,20230101,05:00:03
004105,20230101,05:00:03
006749,20230101,05:00:05
003536,20230101,05:00:11
003867,20230101,05:00:13
006350,20230101,05:00:15
007960,20230101,05:00:16
003866,20230101,05:00:21
004010,20230101,05:00:25
006190,20230101,05:00:25
006462,20230101,05:00:28
000227,20230101,05:00:29
006919,20230101,05:00:31
000303,20230101,05:00:33
006118,20230101,05:00:34
007047,20230101,05:00:42
000143,20230101,05:00:51
000220,20230101,05:00:57
005251,20230101,05:01:06
000279,20230101,05:01:06
000221,20230101,05:01:21
000303,20230101,05:01:32
007882,20230101,05:01:35
006887,20230101,05:01:38
004968,20230101,05:01:40
006117,20230101,05:01:43
006506,20230101,05:01:49
006486,20230101,05:02:44
005562,20230101,05:02:51
006918,20230101,05:02:55
004354,20230101,05:02:56
006885,20230101,05:03:00
006371,20230101,05:03:01
007882,20230101,05:03:07
007856,20230101,05:03:25
007848,20230101,05:03:39
004253,20230101,05:03:59
006373,20230101,05:04:07
007926,20230101,05:04:10
006141,20230101,05:05:04
007928,20230101,05:05:18
006143,20230101,05:05:33
004841,20230101,05:05:53
006213,20230101,05:08:33
006309,20230101,05:12:32
006770,20230101,06:01:02
004685,20230101,06:50:23
006935,20230101,06:52:35
007982,20230101,07:00:03
000290,20230101,07:00:03
007973,20230101,07:00:06
006788,20230101,07:00:11
007876,20230101,07:00:14
000141,20230101,07:00:17
006121,20230101,07:00:19
006360,20230101,07:00:19
006130,20230101,07:00:22
006132,20230101,07:00:24
000275,20230101,07:00:26
006978,20230101,07:00:33
006407,20230101,07:00:33
006188,20230101,07:00:37
006575,20230101,07:00:40
006705,20230101,07:00:44
006225,20230101,07:00:48
003848,20230101,07:00:54
007977,20230101,07:00:58
004358,20230101,07:01:01
006413,20230101,07:01:04
007972,20230101,07:01:06
007200,20230101,07:01:10
007204,20230101,07:01:12
006186,20230101,07:01:15
007206,20230101,07:01:17
006198,20230101,07:01:19
008002,20230101,07:01:22
006873,20230101,07:01:35
007915,20230101,07:01:36
006227,20230101,07:01:39
007861,20230101,07:01:42
